Name,hs,dhw,hs_and_dhw,cs,el
B3321,29.808,3.642,33.45,0.0,6.217
B3599,41.5,4.876,46.376,0.0,8.608
B1492,29.489,3.622,33.111000000000004,0.0,6.148
B2747,97.389,5.473,102.862,0.0,16.437
B3600,37.14,4.295,41.435,0.0,7.605
B2332,10.353,1.032,11.385,0.0,2.443
B2912,47.641,5.478,53.119,0.0,9.271
B2345,46.832,5.469,52.301,0.0,9.257
B3650,6.866,1.032,7.898,0.0,2.427
B3649,10.371,1.032,11.403,0.0,2.443
B2325,75.202,8.506,83.708,0.0,15.823
B3643,10.578,1.027,11.604999999999999,0.0,2.527
B3644,6.98,1.027,8.007,0.0,2.519
B3645,6.974,1.028,8.002,0.0,2.516
B2945,16.299,1.184,17.483,0.0,3.017
B1651,13.889,1.019,14.908,0.0,2.478
B2973,14.153,1.455,15.608,0.0,2.775
B2981,14.464,1.456,15.92,0.0,2.862
B2971,14.298,1.226,15.524000000000001,0.0,2.859
B1633,52.276,6.25,58.526,0.0,10.548
B2955,14.152,1.454,15.606,0.0,2.776
B2928,14.459,1.456,15.915,0.0,2.862
B2963,13.959,1.203,15.161999999999999,0.0,2.77
B2994,14.31,1.227,15.537,0.0,2.86
B1819,16.939,1.266,18.205,0.0,3.002
B2961,39.942,4.78,44.722,0.0,8.211
B2957,38.106,4.557,42.663000000000004,0.0,7.937
B2985,23.072,3.265,26.337,0.0,5.198
B2995,13.972,1.204,15.176,0.0,2.774
B2996,14.305,1.226,15.530999999999999,0.0,2.859
B2956,35.879,4.376,40.254999999999995,0.0,7.478
B2974,43.559,5.313,48.872,0.0,9.094
B2986,23.161,3.39,26.551000000000002,0.0,5.191
B2003,84.911,2.607,87.518,0.0,4.318
B1946,100.757,3.302,104.05900000000001,0.0,5.443
B2958,35.875,4.376,40.251,0.0,7.476
B2002,78.21,1.291,79.50099999999999,0.0,3.839
B1943,103.543,3.391,106.93400000000001,0.0,5.658
B1938,82.561,11.135,93.69600000000001,0.0,21.397
B1953,113.442,11.792,125.234,0.0,23.868
B2774,66.5,8.003,74.503,0.0,15.353
B3624,121.554,12.188,133.742,0.0,24.329
B2950,33.966,4.252,38.218,0.0,6.522
B2949,37.376,4.833,42.208999999999996,0.0,7.556
B1831,40.92,4.97,45.89,0.0,8.457
B2777,13.025,1.856,14.881,0.0,1.778
B2778,15.126,1.712,16.838,0.0,1.704
B1630,148.216,10.751,158.967,0.0,29.517
B1817,38.115,4.557,42.672000000000004,0.0,7.938
B2977,42.765,5.247,48.012,0.0,9.091
B1832,0.0,0.0,0.0,0.0,0.745
B2984,30.097,4.01,34.107,0.0,6.493
B1816,70.289,8.322,78.611,0.0,16.089
B1829,108.386,11.876,120.262,0.0,24.033
B1828,76.181,8.47,84.651,0.0,16.399
B1815,188.631,28.707,217.338,0.0,59.823
B1812,63.395,9.514,72.909,0.0,17.712
B1803,173.136,24.161,197.297,0.0,51.266
B1937,41.099,6.153,47.251999999999995,0.0,10.697
B2705,45.582,5.975,51.557,0.0,10.378
B2702,39.826,5.09,44.916,0.0,8.933
B1974,20.868,3.237,24.104999999999997,0.0,5.395
B2707,106.591,11.304,117.895,0.0,22.018
B1973,80.074,9.683,89.757,0.0,18.578
B3595,43.803,8.721,52.524,0.0,17.676
B1969,53.088,7.687,60.775,0.0,14.737
B2695,42.055,5.46,47.515,0.0,10.022
B1951,138.529,13.587,152.11599999999999,0.0,27.598
B3594,46.32,9.251,55.571,0.0,19.031
B1908,59.101,8.384,67.485,0.0,17.039
B1913,37.474,4.687,42.160999999999994,0.0,8.057
B1912,171.104,20.583,191.687,0.0,41.563
B1814,138.905,22.292,161.197,0.0,42.854
B1910,45.55,5.145,50.69499999999999,0.0,8.951
B1909,43.087,4.983,48.07,0.0,8.3
B1904,82.754,9.484,92.238,0.0,18.078
B2699,38.6,4.527,43.127,0.0,7.173
B2697,42.543,5.471,48.013999999999996,0.0,10.174
B3428,23.322,1.552,24.874,0.0,2.089
B2694,41.583,5.303,46.885999999999996,0.0,9.87
B1911,41.204,6.439,47.643,0.0,12.998
B2696,42.159,5.445,47.604,0.0,10.055
B2693,51.919,6.989,58.907999999999994,0.0,13.177
B1907,53.928,7.301,61.229,0.0,13.826
B1905,50.181,5.409,55.589999999999996,0.0,9.811
B1923,43.547,4.936,48.483,0.0,8.682
B2571,61.248,6.897,68.145,0.0,12.44
B1801,61.256,6.897,68.153,0.0,12.44
B2569,40.357,6.045,46.402,0.0,12.197
B2570,40.355,6.044,46.398999999999994,0.0,12.189
B1799,50.294,5.611,55.904999999999994,0.0,10.128
B1805,58.094,6.214,64.308,0.0,11.634
B1804,54.468,6.342,60.81,0.0,11.382
B1798,167.847,8.728,176.57500000000002,0.0,25.879
B2479,80.267,14.472,94.73899999999999,0.0,30.336
B1213,75.884,3.708,79.592,0.0,6.286
B1922,41.903,4.643,46.546,0.0,7.968
B1921,38.612,4.759,43.371,0.0,8.31
B3925,41.66,4.854,46.513999999999996,0.0,8.711
B1920,48.941,5.39,54.331,0.0,9.63
B3928,0.0,0.0,0.0,0.0,0.376
B1914,36.428,4.965,41.393,0.0,9.715
B1915,34.106,3.935,38.041000000000004,0.0,6.75
B3927,23.141,3.298,26.439,0.0,6.15
B1926,40.825,4.585,45.410000000000004,0.0,8.03
B1612,24.389,2.52,26.909,0.0,4.145
B1609,20.251,2.421,22.672,0.0,3.872
B1613,42.36,5.719,48.079,0.0,10.892
B1607,54.934,2.432,57.366,0.0,3.867
B2548,18.041,1.229,19.27,0.0,3.046
B1615,36.335,3.841,40.176,0.0,6.719
B1603,29.144,3.417,32.561,0.0,5.334
