Building,type,Area,Roof,WWR,useful_area,SurfaceIndex
B2823,roofs,61.38,1,0.8,49.104000000000006,174
B4131,north,35.14,0,0.21,27.76,175
B4131,east,0.0,0,0,0,176
B4131,south,35.25,0,0.21,27.85,177
B4131,west,37.17,0,0.21,29.36,178
B4131,roofs,145.48,1,0.8,116.384,179
B2069,north,373.75,0,0.21,295.26,180
B2069,east,487.58,0,0.21,385.19,181
B2069,south,373.75,0,0.21,295.26,182
B2069,west,487.58,0,0.21,385.19,183
B2069,roofs,316.38,1,0.8,253.104,184
B2740,north,114.58,0,0.21,90.52,185
B2740,east,293.8,0,0.21,232.1,186
B2740,south,36.8,0,0.21,29.07,187
B2740,west,311.35,0,0.21,245.97,188
B2740,roofs,258.21,1,0.8,206.56799999999998,189
B2610,north,36.44,0,0.16,30.61,190
B2610,east,146.96,0,0.16,123.45,191
B2610,south,218.79999999999998,0,0.16,183.79,192
B2610,west,147.02,0,0.16,123.5,193
B2610,roofs,99.23,1,0.8,79.38400000000001,194
B2235,north,222.28,0,0.21,175.6,195
B2235,east,415.0,0,0.21,327.85,196
B2235,south,137.57,0,0.21,108.68,197
B2235,west,405.09,0,0.21,320.02,198
B2235,roofs,324.28,1,0.8,259.424,199
B2184,north,284.27,0,0.21,224.57,200
B2184,east,906.52,0,0.21,716.15,201
B2184,south,284.03999999999996,0,0.21,224.39,202
B2184,west,906.67,0,0.21,716.27,203
B2184,roofs,584.15,1,0.8,467.32,204
B3637,north,188.22,0,0.15,159.99,205
B3637,east,466.74,0,0.15,396.73,206
B3637,south,315.15999999999997,0,0.15,267.89,207
B3637,west,180.95,0,0.15,153.81,208
B3637,roofs,256.51,1,0.8,205.208,209
B1523,north,242.53,0,0.21,191.6,210
B1523,east,151.07999999999998,0,0.21,119.35,211
B1523,south,245.95000000000002,0,0.21,194.3,212
B1523,west,185.42,0,0.21,146.48,213
B1523,roofs,175.94,1,0.8,140.752,214
B3767,north,0.0,0,0,0,215
B3767,east,66.78,0,0.21,52.76,216
B3767,south,114.77000000000001,0,0.21,90.67,217
B3767,west,66.78,0,0.21,52.76,218
B3767,roofs,53.23,1,0.8,42.584,219
B1106,north,218.91,0,0.21,172.94,220
B1106,east,0.0,0,0,0,221
B1106,south,218.82,0,0.21,172.87,222
B1106,west,0.0,0,0,0,223
B1106,roofs,150.93,1,0.8,120.74400000000001,224
B3212,north,101.99,0,0.21,80.57,225
B3212,east,62.41,0,0.21,49.3,226
B3212,south,101.02000000000001,0,0.21,79.81,227
B3212,west,0.0,0,0,0,228
B3212,roofs,194.96,1,0.8,155.96800000000002,229
B1056,north,107.78,0,0.21,85.15,230
B1056,east,99.00999999999999,0,0.21,78.22,231
B1056,south,0.0,0,0,0,232
B1056,west,99.13,0,0.21,78.31,233
B1056,roofs,74.13,1,0.8,59.304,234
B1692,north,242.81,0,0.15,206.39,235
B1692,east,168.20999999999998,0,0.15,142.98,236
B1692,south,242.88,0,0.15,206.45,237
B1692,west,168.07000000000002,0,0.15,142.86,238
B1692,roofs,181.48,1,0.8,145.184,239
B3954,north,0.0,0,0,0,240
B3954,east,76.62,0,0.21,60.53,241
B3954,south,95.80000000000001,0,0.21,75.68,242
